2023-07-25 19:07:121 INFO  BuildYourOwnComputerPage :43 - Click on build your onw comupter:[[ChromeDriver: chrome on windows (a0b2420e997015e7dc355c6e32d2d9c1)] -> xpath: //h2[@class='product-title']//a[normalize-space()='Build your own computer']]
2023-07-25 19:07:653 INFO  BuildYourOwnComputerPage :48 - Select Process:[[ChromeDriver: chrome on windows (a0b2420e997015e7dc355c6e32d2d9c1)] -> xpath: //select[@id='product_attribute_1']]
2023-07-25 19:07:05 INFO  BuildYourOwnComputerPage :52 - Select Ram:[[ChromeDriver: chrome on windows (a0b2420e997015e7dc355c6e32d2d9c1)] -> xpath: //select[@id='product_attribute_2']]
2023-07-25 19:07:319 INFO  BuildYourOwnComputerPage :57 - Select HDD:[[ChromeDriver: chrome on windows (a0b2420e997015e7dc355c6e32d2d9c1)] -> xpath: //input[@name='product_attribute_3']]
2023-07-25 19:07:482 INFO  BuildYourOwnComputerPage :61 - Select OS:[[ChromeDriver: chrome on windows (a0b2420e997015e7dc355c6e32d2d9c1)] -> xpath: //input[@name='product_attribute_4']]
2023-07-25 19:07:620 INFO  BuildYourOwnComputerPage :65 - Click on total Commander:[[ChromeDriver: chrome on windows (a0b2420e997015e7dc355c6e32d2d9c1)] -> xpath: //input[@name='product_attribute_5']]
2023-07-25 19:07:771 INFO  BuildYourOwnComputerPage :69 - Click on Add to cart:[[ChromeDriver: chrome on windows (a0b2420e997015e7dc355c6e32d2d9c1)] -> xpath: //button[@id='add-to-cart-button-1']]
2023-07-25 21:07:446 INFO  HomePage :64 - Click in on loginLink[[ChromeDriver: chrome on windows (baeb7efc1d95b4dc8e5262b31d8e0759)] -> xpath: //a[contains(text(),'Log in')]]
2023-07-25 21:07:815 INFO  HomePage :64 - Click in on loginLink[[ChromeDriver: chrome on windows (b30d72b5a9213a6570075237700427b5)] -> xpath: //a[contains(text(),'Log in')]]
2023-07-25 21:07:994 INFO  LoginPage :41 - Enter email : [[ChromeDriver: chrome on windows (b30d72b5a9213a6570075237700427b5)] -> xpath: //input[@id='Email']]
2023-07-25 21:07:101 INFO  LoginPage :47 - Enter email : [[ChromeDriver: chrome on windows (b30d72b5a9213a6570075237700427b5)] -> xpath: //input[@id='Password']]
2023-07-25 21:07:452 INFO  LoginPage :53 - Click login btn: [[ChromeDriver: chrome on windows (b30d72b5a9213a6570075237700427b5)] -> xpath: //button[contains(text(),'Log in')]]
2023-07-25 21:07:394 INFO  HomePage :64 - Click in on loginLink[[ChromeDriver: chrome on windows (66eab01fe9542f86d6b307e4fcd2c5b4)] -> xpath: //a[contains(text(),'Log in')]]
2023-07-25 21:07:582 INFO  LoginPage :41 - Enter email : [[ChromeDriver: chrome on windows (66eab01fe9542f86d6b307e4fcd2c5b4)] -> xpath: //input[@id='Email']]
2023-07-25 21:07:758 INFO  LoginPage :47 - Enter email : [[ChromeDriver: chrome on windows (66eab01fe9542f86d6b307e4fcd2c5b4)] -> xpath: //input[@id='Password']]
2023-07-25 21:07:98 INFO  LoginPage :53 - Click login btn: [[ChromeDriver: chrome on windows (66eab01fe9542f86d6b307e4fcd2c5b4)] -> xpath: //button[contains(text(),'Log in')]]
2023-07-25 21:07:390 INFO  HomePage :64 - Click in on loginLink[[ChromeDriver: chrome on windows (19ecee1ebc4000931297894dd0f9e1c2)] -> xpath: //a[contains(text(),'Log in')]]
2023-07-25 21:07:581 INFO  LoginPage :41 - Enter email : [[ChromeDriver: chrome on windows (19ecee1ebc4000931297894dd0f9e1c2)] -> xpath: //input[@id='Email']]
2023-07-25 21:07:721 INFO  LoginPage :47 - Enter email : [[ChromeDriver: chrome on windows (19ecee1ebc4000931297894dd0f9e1c2)] -> xpath: //input[@id='Password']]
2023-07-25 21:07:128 INFO  LoginPage :53 - Click login btn: [[ChromeDriver: chrome on windows (19ecee1ebc4000931297894dd0f9e1c2)] -> xpath: //button[contains(text(),'Log in')]]
2023-07-25 21:07:431 INFO  HomePage :48 - Click in on menu[[[ChromeDriver: chrome on windows (18df970271957c295e1f4a8293cfdd3e)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (18df970271957c295e1f4a8293cfdd3e)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (18df970271957c295e1f4a8293cfdd3e)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (18df970271957c295e1f4a8293cfdd3e)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (18df970271957c295e1f4a8293cfdd3e)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (18df970271957c295e1f4a8293cfdd3e)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (18df970271957c295e1f4a8293cfdd3e)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2023-07-25 21:07:937 INFO  HomePage :48 - Click in on menu[[[ChromeDriver: chrome on windows (195d483eb85c56189cebd5f8750d9605)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (195d483eb85c56189cebd5f8750d9605)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (195d483eb85c56189cebd5f8750d9605)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (195d483eb85c56189cebd5f8750d9605)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (195d483eb85c56189cebd5f8750d9605)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (195d483eb85c56189cebd5f8750d9605)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on windows (195d483eb85c56189cebd5f8750d9605)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
